Time,TS outlet pressure (Mean),Pump outlet pressure (Mean),Differential pressure (Mean),Flow rate (Mean),Tank temperature (Mean),Temperature TS inlet (Mean),Temperature TS outlet (Mean),Bypass temperature (Mean),reading_interval_s,elapsed_runtime_s,elapsed_runtime_m
2021-12-07 12:08:53.021,0.399806,0.590197,0.651024,1496.467347,-1.407638,-1.233295,-1.084506,25.003666,1.998,5214.178,86.90296666666667
2021-12-07 12:08:55.021,0.399984,0.590997,0.652142,1497.145529,-1.409603,-1.24785,-1.091365,24.999668,2.0,5216.178,86.9363
2021-12-07 12:08:57.023,0.400343,0.591359,0.652763,1498.008405,-1.392814,-1.225858,-1.083,24.99535,2.002,5218.18,86.96966666666667
2021-12-07 12:08:59.023,0.399606,0.589445,0.650512,1495.014435,-1.395034,-1.241812,-1.08979,25.00144,2.0,5220.18,87.003
2021-12-07 12:09:01.023,0.399572,0.589731,0.650457,1496.997012,-1.405928,-1.242534,-1.091234,25.00039,2.0,5222.18,87.03633333333333
2021-12-07 12:09:03.023,0.399136,0.58881,0.650176,1494.880063,-1.392475,-1.244175,-1.099963,25.000456,2.0,5224.18,87.06966666666668
2021-12-07 12:09:05.021,0.400268,0.590423,0.652518,1495.693344,-1.389441,-1.241244,-1.09239,25.003535,1.998,5226.178,87.10296666666666
2021-12-07 12:09:07.021,0.399821,0.590886,0.652133,1496.796633,-1.388209,-1.243584,-1.095763,24.996583,2.0,5228.178,87.13629999999999
2021-12-07 12:09:09.023,0.39964,0.590774,0.651267,1497.732864,-1.390716,-1.252476,-1.098408,25.00053,2.002,5230.18,87.16966666666667
2021-12-07 12:09:11.022,0.399462,0.589807,0.651113,1493.85695,-1.411768,-1.246406,-1.095894,24.995796,1.999,5232.179,87.20298333333334
2021-12-07 12:09:13.021,0.400042,0.591093,0.652169,1495.842009,-1.399886,-1.250244,-1.095149,24.999659,1.999,5234.178,87.2363
2021-12-07 12:09:15.021,0.400436,0.591516,0.651816,1496.801348,-1.3951,-1.249491,-1.098716,25.001178,2.0,5236.178,87.26963333333333
2021-12-07 12:09:17.020,0.400467,0.591183,0.651407,1496.961651,-1.397003,-1.255988,-1.102063,25.011286,1.999,5238.177,87.30295
2021-12-07 12:09:19.021,0.399924,0.591687,0.652248,1497.381269,-1.403172,-1.250738,-1.096878,25.011417,2.001,5240.178,87.3363
2021-12-07 12:09:21.019,0.399882,0.590833,0.65238,1496.403633,-1.394828,-1.247353,-1.095149,25.007083,1.998,5242.176,87.3696
2021-12-07 12:09:23.021,0.400278,0.591202,0.651956,1496.491753,-1.413924,-1.253591,-1.0929,25.016398,2.002,5244.178,87.40296666666667
2021-12-07 12:09:25.020,0.399892,0.590978,0.65206,1496.332224,-1.380334,-1.25881,-1.088346,25.015815,1.999,5246.177,87.43628333333332
2021-12-07 12:09:27.021,0.400147,0.591692,0.652707,1497.591078,-1.3993,-1.2405,-1.091234,25.019162,2.001,5248.178,87.46963333333333
2021-12-07 12:09:29.019,0.400738,0.591919,0.653746,1495.896284,-1.422615,-1.240587,-1.088645,25.014639,1.998,5250.176,87.50293333333335
2021-12-07 12:09:31.018,0.399176,0.589616,0.650787,1495.384548,-1.387815,-1.250016,-1.103179,25.018769,1.999,5252.175,87.53625000000001
2021-12-07 12:09:33.019,0.400738,0.590873,0.65172,1494.790482,-1.397593,-1.251394,-1.0934,25.020475,2.001,5254.176,87.56960000000001
2021-12-07 12:09:35.018,0.399677,0.59034,0.651426,1495.448198,-1.414787,-1.244503,-1.092809,25.020278,1.999,5256.175,87.60291666666667
2021-12-07 12:09:37.019,0.399519,0.590025,0.651991,1496.829637,-1.398972,-1.248572,-1.095041,25.016406,2.001,5258.176,87.63626666666667
2021-12-07 12:09:39.018,0.398968,0.589681,0.650649,1495.221887,-1.404681,-1.256972,-1.091825,25.021197,1.999,5260.175,87.66958333333334
2021-12-07 12:09:41.016,0.399605,0.590165,0.651457,1494.855197,-1.396762,-1.250358,-1.097734,25.017797,1.998,5262.173,87.70288333333333
2021-12-07 12:09:43.017,0.399407,0.590247,0.651001,1496.322189,-1.394322,-1.2471,-1.094867,25.020792,2.001,5264.174,87.73623333333333
2021-12-07 12:09:45.018,0.399687,0.5907,0.650691,1495.368046,-1.399365,-1.256775,-1.103245,25.018703,2.001,5266.175,87.76958333333333
2021-12-07 12:09:47.018,0.399552,0.590215,0.650447,1495.566143,-1.391726,-1.252657,-1.101842,25.027161,2.0,5268.175,87.80291666666668
2021-12-07 12:09:49.018,0.400204,0.591569,0.652094,1497.205208,-1.399724,-1.247569,-1.094274,25.026063,2.0,5270.175,87.83625
2021-12-07 12:09:51.019,0.399618,0.590238,0.651048,1495.533156,-1.408386,-1.251083,-1.10112,25.033328,2.001,5272.176,87.8696
2021-12-07 12:09:53.018,0.399817,0.591535,0.651997,1497.214642,-1.399396,-1.250852,-1.104386,25.026654,1.999,5274.175,87.90291666666667
2021-12-07 12:09:55.019,0.401247,0.592033,0.652425,1497.938863,-1.393432,-1.255674,-1.100136,25.040151,2.001,5276.176,87.93626666666667
2021-12-07 12:09:57.018,0.399187,0.589265,0.650246,1497.693435,-1.404254,-1.24862,-1.100775,25.037949,1.999,5278.175,87.96958333333333
2021-12-07 12:09:59.017,0.398144,0.587886,0.648628,1494.10212,-1.422859,-1.250475,-1.105214,25.032487,1.999,5280.174,88.0029
2021-12-07 12:10:01.018,0.399126,0.589246,0.650112,1491.164794,-1.377381,-1.256513,-1.091037,25.040822,2.001,5282.175,88.03625000000001
2021-12-07 12:10:03.017,0.399467,0.590361,0.650718,1495.653292,-1.392278,-1.261238,-1.094647,25.035572,1.999,5284.174,88.06956666666666
2021-12-07 12:10:05.018,0.39948,0.58997,0.651049,1495.577855,-1.4014,-1.240828,-1.093072,25.026185,2.001,5286.175,88.10291666666667
2021-12-07 12:10:07.017,0.399257,0.589597,0.651224,1495.577855,-1.417609,-1.23945,-1.087821,25.031699,1.999,5288.174,88.13623333333334
2021-12-07 12:10:09.018,0.399207,0.59033,0.650916,1495.643862,-1.418593,-1.253428,-1.09655,25.033537,2.001,5290.175,88.16958333333334
2021-12-07 12:10:11.016,0.400124,0.590295,0.650969,1494.761237,-1.422155,-1.247616,-1.099682,25.025874,1.998,5292.173,88.20288333333333
2021-12-07 12:10:13.018,0.400202,0.590908,0.651758,1496.138496,-1.416874,-1.24179,-1.096375,25.020136,2.002,5294.175,88.23625
2021-12-07 12:10:15.016,0.39928,0.588989,0.650955,1494.699884,-1.411776,-1.243937,-1.099682,25.021932,1.998,5296.173,88.26955
2021-12-07 12:10:17.016,0.399,0.588723,0.649703,1494.488734,-1.381515,-1.248703,-1.09235,25.027892,2.0,5298.173,88.30288333333333
2021-12-07 12:10:19.018,0.399522,0.590145,0.651185,1495.521473,-1.398911,-1.245068,-1.095392,25.028529,2.002,5300.175,88.33625
2021-12-07 12:10:21.016,0.399814,0.590203,0.651497,1495.657948,-1.398638,-1.246828,-1.093178,25.033758,1.998,5302.173,88.36954999999999
2021-12-07 12:10:23.018,0.401059,0.592581,0.652924,1497.815291,-1.428412,-1.24297,-1.094343,25.038168,2.002,5304.175,88.40291666666667
2021-12-07 12:10:25.018,0.400911,0.591855,0.651825,1497.937617,-1.406781,-1.250213,-1.097272,25.042792,2.0,5306.175,88.43625
