Time,Pressure before pump (Arith. Mean),Pressure after pump (Arith. Mean),Differential pressure (Arith. Mean),Flow rate (Arith. Mean),Tank temperature (Arith. Mean),Temperature TS inlet (Arith. Mean),Temperature TS outlet (Arith. Mean),Bypass temperature (Arith. Mean),reading_interval_s
2021-08-21 11:46:34.495,0.192211,0.002546,0.026425,401.662175,21.64186,-1.2594,0.136716,0.501567,2.0
2021-08-21 11:46:36.495,0.192232,0.002567,0.02608,401.836623,21.64081,-1.281123,0.118865,0.498416,2.0
2021-08-21 11:46:38.495,0.192597,0.002504,0.026255,402.013428,21.634116,-1.280992,0.150958,0.498876,2.0
2021-08-21 11:46:40.495,0.192463,0.00253,0.026236,401.28499,21.63766,-1.272854,0.1272,0.502551,2.0
2021-08-21 11:46:42.495,0.192568,0.002488,0.026489,401.013888,21.635691,-1.265569,0.122737,0.497891,2.0
2021-08-21 11:46:44.495,0.192274,0.00247,0.026521,401.433506,21.635494,-1.275545,0.134551,0.500779,2.0
2021-08-21 11:46:46.495,0.193463,0.002538,0.0262,401.772973,21.629194,-1.270951,0.131794,0.502092,2.0
2021-08-21 11:46:48.495,0.192437,0.002624,0.025988,401.60324,21.6309,-1.279154,0.12359,0.504717,2.0
2021-08-21 11:46:50.494,0.191917,0.002585,0.025943,400.676177,21.630704,-1.28099,0.129891,0.504017,1.999
2021-08-21 11:46:52.494,0.192379,0.002661,0.026043,400.365602,21.631557,-1.284601,0.134091,0.502551,2.0
2021-08-21 11:46:54.494,0.192818,0.002648,0.025993,400.971455,21.629457,-1.27397,0.139079,0.504586,2.0
2021-08-21 11:46:56.494,0.19256,0.002451,0.02602,401.327423,21.636544,-1.276135,0.120112,0.509115,2.0
2021-08-21 11:46:58.494,0.192516,0.002659,0.025988,400.693282,21.62716,-1.267801,0.141245,0.505702,2.0
2021-08-21 11:47:00.494,0.192786,0.002651,0.026076,401.886128,21.626832,-1.275676,0.15319,0.504389,2.0
2021-08-21 11:47:02.494,0.192581,0.002577,0.026131,401.805976,21.624469,-1.263994,0.137373,0.505571,2.0
2021-08-21 11:47:04.494,0.192783,0.002561,0.026379,401.459438,21.626438,-1.266554,0.144198,0.510231,2.0
2021-08-21 11:47:06.494,0.192854,0.002624,0.026517,401.280275,21.632016,-1.26045,0.154043,0.511018,2.0
2021-08-21 11:47:08.494,0.19307,0.002635,0.026429,401.805976,21.625847,-1.26721,0.134288,0.508459,2.0
2021-08-21 11:47:10.494,0.191867,0.002546,0.026223,401.150618,21.62355,-1.272395,0.145577,0.510493,2.0
