Time;Flow rate (Mean);TS outlet pressure (Mean);TS inlet pressure (Mean);Pump outlet pressure (Mean);Temperature TS outlet (Mean);Tank temperature (Mean);Temperature TS inlet (Mean);Bypass temperature (Mean)
19:01:21,242;387,265507;0,114653;0,124636;0,170169;-0,06792;-2,480201;-0,129563;24,064083
19:01:21,252;385,851065;0,105202;0,123061;0,166494;-0,304191;-2,887073;-0,378947;24,155974
19:01:21,262;383,02218;0,111503;0,126736;0,171087;-0,06792;-2,506451;-0,155814;24,12972
19:01:21,272;386,794027;0,109927;0,137237;0,166494;-0,291065;-2,847698;-0,300194;24,037828
19:01:21,282;385,851065;0,106252;0,122011;0,170169;-0,054794;-2,572075;-0,077062;24,169102
19:01:21,292;385,851065;0,104677;0,120436;0,164656;-0,330443;-2,860823;-0,31332;24,116592
19:01:21,302;385,379584;0,109402;0,122011;0,166494;-0,120425;-2,480201;-0,050811;24,07721
19:01:21,312;383,02218;0,105202;0,119386;0,166494;-0,343569;-2,821448;-0,31332;24,090338
19:01:21,322;383,965142;0,114128;0,125686;0,165575;-0,107299;-2,480201;-0,077062;23,985319
19:01:21,332;385,851065;0,113078;0,122536;0,170169;-0,343569;-2,913323;-0,326445;24,090338
19:01:21,342;386,322546;0,114653;0,130937;0,16925;-0,054794;-2,414576;-0,02456;24,116592
19:01:21,352;386,794027;0,108352;0,122011;0,166494;-0,330443;-2,729574;-0,352696;24,064083
